"BHID";"XCOLLAR";"YCOLLAR";"ZCOLLAR";"DEPTH";"TYPE";"BHT";"SOCIETY";"ORDRE";"Date";"STR";"RIG";"Filon";"PROJECT";"ANNEE";"MOIS";"PAD";"CONTRACTOR";"SEQUENCE";"MACHINE";"START_DATE";"FINISH_DATE"
TRE_FR25_80;531809.5;413306.72;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR26_80;531812.63;413308.22;623.0;3.3;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR27_80;531815.37;413309.85;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR28_80;531818.63;413311.66;623.0;3.3;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR30_80;531824.34;413314.65;623.0;3.3;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR31_80;531827.46;413316.07;623.0;3.2;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR32_80;531830.59;413317.48;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR33_80;531834.16;413317.93;623.0;2.8;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR34_80;531837.91;413317.81;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR35_80;531840.61;413318.81;623.0;3.4;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR36_80;531843.92;413320.6;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR37_80;531847.1;413322.55;623.0;2.9;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR38_80;531850.86;413324.07;623.0;3.2;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR39_80;531853.49;413325.23;623.0;3.2;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR40_80;531857.12;413326.25;623.0;3.2;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR41_80;531860.3;413327.55;623.0;3.3;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR42_80;531863.16;413328.81;623.0;3.3;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR43_80;531866.3;413330.38;623.0;3.5;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR44_80;531869.18;413332.16;623.0;3.3;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR45_80;531872.96;413334.15;623.0;3.1;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR46_80;531875.75;413335.26;623.0;3.2;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR47_80;531879.07;413336.4;623.0;3.3;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR48_80;531881.35;413337.48;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRE_FR49_80;531883.35;413338.56;623.0;3.2;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR0_80;531741.4;413280.84;623.0;5.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR1_80;531742.4;413281.84;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR2_80;531741.1;413281.32;623.0;3.3;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR3_80;531739.66;413280.73;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR4_80;531737.81;413279.77;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR5_80;531735.71;413278.99;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR6_80;531734.23;413278.29;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR7_80;531732.89;413277.85;623.0;2.9;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR8_80;531731.64;413277.29;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR9_80;531730.05;413276.96;623.0;2.9;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR10_80;531728.49;413276.89;623.0;2.9;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR11_80;531727.5;413276.41;623.0;2.7;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR12_80;531726.42;413275.67;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR13_80;531723.74;413273.82;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR14_80;531721.01;413272.69;623.0;2.8;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR15_80;531719.32;413272.01;623.0;2.8;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR16_80;531717.58;413271.51;623.0;2.8;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR17_80;531715.8;413270.97;623.0;2.9;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR18_80;531714.3;413270.28;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR19_80;531712.91;413269.93;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR20_80;531711.1;413269.49;623.0;2.8;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR21_80;531709.37;413268.86;623.0;3.3;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR22_80;531707.39;413267.67;623.0;3.2;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR23_80;531705.18;413267.09;623.0;3.2;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR24_80;531702.57;413266.67;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR25_80;531700.18;413265.88;623.0;3.0;RN;"3";CMO;"3";;;;;;;;;;;;;
TRW_FR26_80;531698.06;413264.65;623.0;3.2;RN;"3";CMO;"3";;;;;;;;;;;;;
