"BHID";"FROM";"TO";"LENGTH";"CODE";"Minéralogie";"Minéralisation";"DESCRIPTION";"Poids(Kg) p";"Poids(Kg) g";"Poids Récupéré (Kg)";"Poids Théorique (Kg)";"Taux de Récupération (%)";"PROJECT"
GT-RC-11;5.0;6.0;1.0;GRE;;;Grès;9.4;24.9;34.3;38.465;89.17;
GT-RC-19;118.0;119.0;1.0;PEL;;;pélites noires;7.0;25.2;32.2;38.465;83.71;
GT-RC-28;18.0;19.0;1.0;GRE;;;Grès + epsilon Py;6.2;26.8;33.0;38.465;85.79;
GT-ZE-TRW-FR82;0.0;2.4;2.4;ST;;;;;;;;;
GT-RC-36;30.0;31.0;1.0;GRE;;;Grès;4.8;20.4;25.2;38.465;65.51;
GT-ZE-TRW-FR83;0.0;2.6;2.6;ST;;;;;;;;;
GT-RC-19;48.0;49.0;1.0;GRE;;;Grès;1.9;10.9;12.8;38.465;33.28;
GTCis20;41.0;42.0;1.0;GRE;;;Grès à pyrite+rares traces cpy;;;;;;
GTCis21;0.0;4.0;4.0;RC;;;recouvrement;;;;;;
GT-ZE-TRW-FR84;0.0;2.6;2.6;ST;;;;;;;;;
GT-ZE-TRW-FR85;0.0;2.6;2.6;ST;;;;;;;;;
GT-ZE-TRW-FR86;0.0;2.6;2.6;ST;;;;;;;;;
GTCis20;42.0;45.0;3.0;PG;;;schistes grèseux à pyrite+ankerite;;;;;;
GT-ZE-TRW-FR87;0.0;2.6;2.6;ST;;;;;;;;;
GT-ZE-TRW-FR88;0.0;2.7;2.7;ST;;;;;;;;;
GT-ZE-TRW-FR89;0.0;2.5;2.5;ST;;;;;;;;;
GT-ZE-TRW-FR90;0.0;2.2;2.2;ST;;;;;;;;;
GT-ZE-TRW-FR91;0.0;2.7;2.7;ST;;;;;;;;;
GT-ZE-TRW-FR92;0.0;2.4;2.4;ST;;;;;;;;;
GT-ZE-TRW-FR93;0.0;2.6;2.6;ST;;;;;;;;;
GT-ZE-TRW-FR94;0.0;2.3;2.3;ST;;;;;;;;;
GT-ZE-TRW-FR95;0.0;2.3;2.3;ST;;;;;;;;;
GTCis20;45.0;51.0;6.0;GRE;;;Grès quartziztique;;;;;;
GT-ZE-TRW-FR96;0.0;2.2;2.2;ST;;;;;;;;;
GT-ZE-TRW-FR97;0.0;1.4;1.4;ST;;;;;;;;;
GT-ZE-TRW-FR98;0.0;1.7;1.7;ST;;;;;;;;;
GT-ZE-TRW-FR99;0.0;2.2;2.2;ST;;;;;;;;;
GT-ZE-TRW-FR100;0.0;2.4;2.4;ST;;;;;;;;;
GT-ZE-TRW-FR101;0.0;2.6;2.6;ST;;;;;;;;;
GTCis20;51.0;62.0;11.0;PG;;;schistes grèseux;;;;;;
GT-ZE-TRW-FR102;0.0;1.9;1.9;ST;;;;;;;;;
GT-ZE-TRW-FR103;0.0;1.5;1.5;ST;;;;;;;;;
GTCis20;62.0;66.0;4.0;PEL;;;Schistes noirs;;;;;;
GT-ZE-TRW-FR104;0.0;1.6;1.6;ST;;;;;;;;;
GT-ZE-TRW-FR105;0.0;2.1;2.1;ST;;;;;;;;;
GT-ZE-TRW-FR106;0.0;2.3;2.3;ST;;;;;;;;;
GTCis21;4.0;10.0;6.0;PEL;;;schsites altérés;;;;;;
GT-ZE-TRW-FR107;0.0;3.2;3.2;ST;;;;;;;;;
GTCis21;10.0;12.0;2.0;GRE;;;grès altérés;;;;;;
GT-ZE-TRW-FR108;0.0;2.8;2.8;ST;;;;;;;;;
GT-ZE-TRW-FR109;0.0;2.8;2.8;ST;;;;;;;;;
GTCis21;12.0;25.0;13.0;PEL;;;schsites altérés;;;;;;
GTCis21;25.0;43.0;18.0;PEL;;;Schistes noirs;;;;;;
GTCis26;0.0;4.0;4.0;CAR;;;carapace carbonatée;;;;;;
GTCis26;4.0;7.0;3.0;PEL;;;Schistes alterés;;;;;;
GT-RC-05;47.0;48.0;1.0;ST;QZ;PY+CPY;Structure à quartz et siderite riche en Py/Cpy;10.9;24.0;34.9;38.465;90.73;
GT-RC-30;113.0;114.0;1.0;ST;ANK+QZ;CPY;Structure à ankérite+cpy+épsilon quartz;10.9;21.8;32.7;38.465;85.01;
GT-RC-06;1.0;2.0;1.0;GRE;;;Grès altéré;10.4;13.4;23.8;38.465;61.87;
GT-RC-30;112.0;113.0;1.0;GRE;;;Grès pélitiques à élément d'ankérite+quartz;10.3;22.0;32.3;38.465;83.97;
GT-RC-35;103.0;104.0;1.0;PEL;;;Pélites noires;9.8;9.4;19.2;38.465;49.92;
GT-RC-03;12.0;13.0;1.0;ST;;;Veine à sidérose + Qtz;9.6;10.9;20.5;38.465;53.3;
GT-RC-13;5.0;6.0;1.0;GRE;;;Grès;9.4;24.5;33.9;38.465;88.13;
