"BHID";"AT";"BRG";"DIP";"PROJECT"
GT13;0.0;330.0;62.0;
S7B;0.0;140.0;75.0;
BKF2Cis1;0.0;330.0;60.0;
S31;0.0;5.0;55.0;BNHS_0626
S45;0.0;15.0;0.0;BNHS_0626
BNF17;0.0;227.0;0.0;BNHS_0626
BNF33;0.0;358.0;40.0;BNHS_0626
GT-RC-21;96.0;331.27;73.87;
GT-RC-21;99.0;330.93;73.78;
GT-RC-21;100.64;331.03;73.58;
GT-RC-21;90.0;331.12;73.57;
GT-RC-21;84.0;330.89;73.48;
GT-RC-21;93.0;331.01;73.47;
GT-RC-21;66.0;331.59;73.44;
GT-RC-21;72.0;331.93;73.4;
GT-RC-21;78.0;331.32;73.39;
GT-RC-21;69.0;331.68;73.38;
GT-RC-21;87.0;331.2;73.37;
GT-RC-21;81.0;331.54;73.35;
GT-RC-21;75.0;332.16;73.22;
GT-RC-21;60.0;331.43;73.21;
GT-RC-21;63.0;331.17;73.08;
GT-RC-21;54.0;331.12;72.91;
GT-RC-21;48.0;330.74;72.88;
GT-RC-21;57.0;331.22;72.76;
GT-RC-21;42.0;330.78;72.74;
GT-RC-21;51.0;330.88;72.7;
GT-RC-21;45.0;330.68;72.62;
GT-RC-21;36.0;330.93;72.47;
GT-RC-21;39.0;330.77;72.38;
GT-RC-21;30.0;331.61;72.07;
GT-RC-21;33.0;331.14;72.07;
GT-RC-21;24.0;331.78;71.81;
GT-RC-21;27.0;331.71;71.72;
GT-RC-21;18.0;332.05;71.67;
GT-RC-21;12.0;331.43;71.49;
GT-RC-21;21.0;332.02;71.45;
GT-RC-21;15.0;332.2;71.35;
GT-RC-21;6.0;331.19;71.07;
GT-RC-21;9.0;331.36;70.93;
GT-RC-21;3.0;330.94;70.13;
GT5;0.0;330.0;70.0;
GT8;0.0;340.0;70.0;
GT9;0.0;340.0;70.0;
GTCis10;0.0;340.0;70.0;
GTCis12;0.0;340.0;70.0;
GTCis13;0.0;340.0;70.0;
GTCis28;0.0;330.0;70.0;
GTCis29;0.0;330.0;70.0;
GTCis31;0.0;330.0;70.0;
GTCis32;0.0;330.0;70.0;
GTCis33;0.0;330.0;70.0;
GTCis34;0.0;330.0;70.0;
GTCis35;0.0;330.0;70.0;
GTCis38;0.0;330.0;70.0;
GTCis39;0.0;330.0;70.0;
GTCis41;0.0;330.0;70.0;
GTCis42;0.0;330.0;70.0;
GTCis43;0.0;340.0;70.0;
GTCis44;0.0;330.0;70.0;
GTCis46;0.0;330.0;70.0;
GTCis47;0.0;340.0;70.0;
GTCis52;0.0;330.0;70.0;
GTCis53;0.0;330.0;70.0;
GTCis54;0.0;330.0;70.0;
GTCis55;0.0;330.0;70.0;
GT-RC-21;0.0;330.36;69.4;
GT4;0.0;330.0;69.0;
GT-RC-19;30.0;328.67;68.1;
